frameNum, leftShoulder, leftElbow, leftWrist, rightShoulder, rightElbow, rightWrist, leftHip, leftKnee, leftAnkle, rightHip, rightKnee, rightAnkle
0, 68.9641, 34.7714, 36.8289, 71.4121, 47.3281, 5.70594, 12.065, 69.2061, 114.083, 10.7746, 68.2324, 126.307
1, 66.6674, 32.0531, 31.6906, 73.7594, 41.7408, 17.3476, 11.4746, 68.6081, 112.231, 11.7428, 66.9266, 124.295
2, 66.9142, 32.3104, 32.206, 73.9759, 42.2105, 19.6699, 11.3796, 67.7972, 111.711, 11.4886, 66.4729, 123.855
3, 66.9055, 32.3537, 31.832, 73.8927, 42.4561, 21.4569, 11.6558, 67.642, 111.654, 11.2876, 66.3949, 123.789
4, 72.1321, 36.7418, 33.7846, 72.8008, 41.7031, 23.5012, 11.8912, 68.5573, 112.666, 10.7717, 67.1397, 124.551
5, 71.1573, 35.8799, 35.2401, 72.7472, 42.0529, 24.8108, 11.8973, 66.1988, 112.566, 10.5641, 67.3348, 125.169
6, 71.1073, 36.4713, 36.2073, 72.6755, 42.0344, 26.5487, 11.8915, 66.2385, 112.924, 10.4177, 67.4933, 125.028
7, 70.9555, 37.1045, 37.4046, 72.6144, 42.2497, 28.3679, 11.9593, 66.2715, 113.194, 10.1392, 67.5698, 125.184
8, 70.3618, 36.9685, 39.0344, 72.0925, 48.2293, 30.4489, 12.8736, 66.6342, 113.651, 10.0264, 67.9351, 119.817
9, 70.9887, 37.5534, 40.1332, 72.1207, 48.0723, 32.344, 12.898, 66.5312, 113.557, 9.56937, 67.8583, 120.035
10, 71.002, 37.7662, 40.6354, 72.511, 48.4631, 32.8458, 12.7484, 66.1806, 113.13, 9.27563, 67.4664, 125.433
11, 71.0645, 37.8974, 41.4104, 72.3721, 48.4346, 34.3263, 12.8398, 66.356, 112.841, 9.39971, 68.3613, 122.486
12, 71.0967, 37.9568, 42.0353, 72.3109, 48.4302, 34.9948, 12.8458, 66.4023, 112.898, 9.42555, 68.2628, 120.742
13, 71.4501, 38.2663, 42.0682, 72.6407, 48.6407, 34.9804, 12.5547, 66.1173, 112.051, 9.08949, 68.1733, 125.312
14, 71.0853, 37.9773, 41.8472, 72.2837, 48.1313, 33.7997, 12.8397, 66.4865, 113.039, 9.40312, 68.4284, 118.533
15, 71.1919, 37.9764, 41.2851, 72.3674, 48.0755, 32.982, 12.7228, 66.419, 113.038, 9.30541, 68.8181, 118.895
16, 70.9449, 37.6362, 40.4167, 72.2337, 47.9672, 31.6901, 12.7359, 63.3519, 113.279, 9.49996, 68.9609, 118.975
17, 70.9277, 37.4139, 39.2711, 72.1958, 48.0114, 29.6124, 12.5955, 64.8726, 113.307, 9.5616, 68.7497, 119.232
18, 70.739, 37.1154, 38.1358, 71.9801, 47.972, 27.3934, 12.7593, 65.4216, 113.802, 9.69319, 67.9544, 119.376
19, 71.0992, 37.2848, 37.2596, 72.3337, 48.3502, 25.373, 12.2769, 65.3636, 113.83, 9.36992, 67.6375, 125.235
20, 70.8221, 36.5452, 34.8554, 72.5175, 40.9425, 21.9998, 11.5176, 65.5985, 113.939, 9.90732, 67.2821, 124.88
21, 70.6946, 36.3923, 33.4433, 72.3758, 40.6179, 19.7652, 11.5628, 64.8271, 114.065, 10.0964, 67.8313, 125.418
22, 70.7673, 36.3311, 32.4069, 72.4352, 40.4847, 18.5226, 11.3038, 65.6929, 113.991, 10.1163, 67.7858, 125.337
23, 70.7667, 36.2179, 31.7205, 72.4554, 40.1936, 17.6651, 11.4472, 64.9024, 114.037, 10.439, 67.8865, 125.702
24, 70.5936, 35.9539, 29.1162, 72.2438, 39.6076, 17.0503, 11.6522, 66.2448, 113.299, 10.8567, 68.4586, 126.363
25, 70.2567, 35.6224, 23.6441, 71.8795, 39.0325, 17.0247, 11.9476, 65.8342, 113.93, 11.3713, 69.7287, 127.871
26, 70.1567, 35.5216, 28.5059, 71.7153, 38.6663, 16.6141, 11.8405, 65.686, 114.585, 11.789, 69.8799, 122.193
27, 70.2095, 35.5129, 28.3433, 71.7372, 38.5779, 14.6707, 11.7604, 66.1448, 114.569, 11.7506, 69.5854, 127.483
28, 70.2545, 35.514, 28.2238, 71.6818, 38.4168, 15.0177, 11.6209, 67.9468, 114.536, 11.8756, 69.6364, 127.643
29, 70.1444, 36.3252, 29.5639, 70.6732, 44.4389, 8.14442, 12.5549, 68.3202, 115.093, 11.5019, 69.4897, 127.863
30, 70.1746, 36.3721, 29.5158, 70.5848, 44.1975, 8.22616, 12.4613, 68.4906, 115.167, 11.5778, 69.8464, 127.437
31, 70.2708, 36.4781, 29.4875, 70.5302, 44.0733, 8.71459, 12.3979, 68.2713, 115.172, 11.45, 70.0084, 128.127
32, 65.91, 33.2984, 34.6615, 72.2198, 45.5914, 7.97818, 11.1291, 64.6173, 113.469, 11.6928, 68.5239, 126.803
33, 65.4062, 32.3746, 24.052, 72.2334, 38.9173, 15.9453, 11.3111, 66.3501, 113.861, 13.1383, 69.0531, 127.415
