frameNum, leftShoulder, leftElbow, leftWrist, rightShoulder, rightElbow, rightWrist, leftHip, leftKnee, leftAnkle, rightHip, rightKnee, rightAnkle
0, 67.1749, 29.9953, 29.1103, 66.2587, 28.2854, 39.1723, 12.5686, 54.068, 87.9118, 6.54546, 52.0851, 103.146
1, 67.3859, 28.457, 29.4891, 66.6385, 28.6858, 38.8424, 12.2821, 54.0569, 85.1016, 6.39858, 53.9957, 102.651
2, 67.3318, 28.4191, 29.2661, 66.4758, 28.6605, 38.4443, 12.4694, 54.1736, 85.4991, 6.49042, 53.7486, 102.761
3, 67.123, 30.0694, 29.4834, 66.3134, 28.4587, 38.5559, 12.7273, 54.4326, 86.0134, 6.7109, 54.175, 102.955
4, 67.5093, 28.0247, 29.8995, 66.7184, 28.7407, 38.696, 12.5076, 53.9628, 86.6753, 6.29777, 53.6466, 102.6
5, 67.7499, 28.2736, 29.8164, 67.0313, 29.2243, 38.5084, 12.3466, 53.6278, 91.8309, 6.03746, 53.7076, 102.344
6, 67.6863, 28.1761, 29.6961, 66.8897, 25.1044, 36.8202, 12.3904, 53.7974, 85.6264, 6.1746, 53.7924, 102.516
7, 67.2329, 30.3607, 28.5555, 66.2224, 28.1826, 36.8704, 12.8046, 54.4861, 86.3038, 6.84438, 53.4499, 103.193
8, 66.9859, 30.1755, 28.7855, 65.9803, 27.9232, 38.6213, 13.1238, 54.9018, 86.6494, 7.19175, 51.6778, 104.116
9, 67.4111, 28.2332, 29.094, 66.3609, 28.1865, 38.3848, 12.8862, 54.5758, 86.2624, 6.93215, 50.6845, 103.766
10, 67.474, 28.2619, 29.0768, 66.3224, 28.2869, 39.0717, 12.9001, 53.8832, 86.7858, 6.96873, 50.8896, 103.675
11, 67.1223, 29.8137, 29.3076, 66.0467, 28.4172, 40.1208, 12.8093, 54.1599, 81.8553, 7.27168, 51.7401, 104.056
12, 67.5859, 28.9778, 29.1667, 66.2935, 28.4689, 39.5427, 12.8433, 53.6537, 83.0393, 6.96896, 52.8925, 103.399
13, 67.5919, 23.6419, 27.8098, 66.0712, 25.2405, 39.2641, 13.4999, 53.9053, 82.9726, 7.30334, 53.3933, 103.312
14, 67.5843, 23.6054, 27.3627, 66.0864, 26.9923, 39.3114, 13.371, 53.8955, 85.9663, 7.26835, 53.3215, 103.243
15, 67.5893, 23.5628, 27.7167, 66.1786, 27.4362, 39.5075, 13.3463, 53.7659, 85.7695, 7.23052, 54.3521, 103.172
16, 67.6063, 23.6246, 27.4645, 66.0383, 27.778, 39.4287, 13.4852, 54.2036, 85.7834, 7.40545, 53.5749, 103.186
17, 67.2792, 27.3303, 27.1592, 65.6518, 27.5629, 40.1402, 13.7727, 54.6833, 86.3028, 7.59626, 53.2074, 103.578
18, 67.5685, 33.4835, 26.7998, 66.1688, 25.4591, 40.4058, 13.0618, 54.139, 85.8539, 7.21782, 53.0179, 103.431
19, 67.3911, 33.305, 27.5689, 65.9744, 28.1175, 40.4405, 13.1633, 54.3984, 86.1353, 7.41355, 53.4142, 103.632
20, 67.6926, 30.2101, 28.8127, 66.2696, 28.3903, 39.7642, 13.0371, 54.1112, 85.3353, 7.12528, 53.0692, 103.32
21, 67.6981, 23.6274, 27.1833, 66.0631, 28.006, 40.0605, 13.5321, 54.3294, 85.8281, 7.38282, 52.8812, 103.255
22, 67.6926, 23.6261, 27.1675, 65.9383, 28.0459, 39.9932, 13.5404, 54.4067, 85.7425, 7.40189, 53.2261, 103.225
23, 67.2991, 33.1921, 27.1327, 65.7652, 28.3302, 40.0219, 13.2312, 54.479, 86.0159, 7.53113, 53.6649, 103.626
24, 67.759, 23.6318, 27.2382, 65.8536, 28.133, 39.8949, 13.5294, 54.3559, 85.9009, 7.34824, 52.7885, 103.124
25, 67.8584, 23.7333, 27.855, 65.9098, 28.1862, 40.086, 13.526, 54.3038, 86.1859, 7.4071, 52.8457, 103.085
26, 67.7253, 23.6255, 27.7881, 65.6505, 30.3517, 39.3425, 13.6456, 54.3801, 87.3805, 7.62586, 53.0727, 103.259
27, 67.8085, 23.7646, 27.6003, 65.6834, 29.823, 40.0388, 13.5898, 54.298, 87.2631, 7.42341, 53.1197, 103.073
28, 67.8627, 23.8125, 27.7708, 65.6879, 29.3861, 39.9892, 13.5705, 54.27, 87.0203, 7.42658, 52.944, 103.079
29, 67.6286, 26.4147, 27.6381, 65.242, 29.6469, 40.0993, 13.7538, 54.5199, 87.1713, 7.68258, 53.2374, 103.296
30, 67.3204, 28.3676, 27.107, 64.9614, 28.3124, 40.1607, 13.9758, 54.8177, 84.4888, 7.97209, 54.0114, 103.53
31, 67.2036, 33.1364, 27.4589, 65.0638, 28.7581, 40.2244, 13.4439, 54.6518, 83.3581, 7.76326, 53.4386, 103.856
32, 67.4325, 33.2996, 27.2421, 65.3606, 28.997, 39.6558, 13.2108, 54.5127, 87.5849, 7.45725, 54.4226, 103.535
33, 67.6732, 33.4813, 26.3962, 65.471, 29.0682, 39.7723, 13.0767, 54.1851, 91.6276, 7.24014, 54.0939, 103.34
34, 67.657, 30.3043, 27.0261, 65.5124, 29.0062, 40.0097, 13.1131, 54.1434, 85.9419, 7.21789, 53.7432, 103.264
35, 68.1993, 30.7112, 26.1467, 66.0969, 26.4112, 40.1089, 12.7738, 53.6544, 86.0283, 6.68403, 54.9521, 102.687
36, 67.8809, 30.1057, 26.7218, 65.8209, 27.771, 40.1993, 12.9448, 54.0658, 82.5471, 7.08041, 54.9127, 103.137
