frameNum, leftShoulder, leftElbow, leftWrist, rightShoulder, rightElbow, rightWrist, leftHip, leftKnee, leftAnkle, rightHip, rightKnee, rightAnkle
0, 64.021, 49.3195, 19.3067, 69.313, 44.9711, 30.4186, 16.5629, 64.7068, 109.686, 10.7324, 61.294, 113.947
1, 64.2394, 73.0196, 28.9987, 65.6706, 47.1189, 41.1579, 17.0297, 61.597, 104.539, 16.7355, 68.0755, 114.477
2, 68.7707, 34.697, 28.6421, 73.12, 52.0284, 36.36, 11.3176, 56.0275, 100.698, 11.4546, 72.2316, 123.319
3, 69.711, 36.7164, 34.6377, 73.4702, 52.9275, 38.6507, 10.6552, 56.9996, 101.596, 12.1106, 73.1903, 123.871
4, 69.9943, 37.2767, 38.6999, 74.5966, 53.9226, 41.5963, 8.39184, 65.0238, 108.738, 13.2301, 69.1325, 124.134
5, 69.9481, 39.1186, 42.4205, 74.6463, 52.0657, 44.7481, 7.0538, 67.6874, 111.251, 15.187, 68.4636, 122.261
6, 70.4531, 39.5852, 46.1219, 75.0512, 52.917, 47.3002, 5.84937, 69.7754, 128.962, 17.0459, 59.2496, 118.915
7, 70.2196, 42.0884, 49.0632, 75.1225, 54.5882, 50.1367, 6.20587, 72.0119, 132.828, 17.8643, 57.1869, 119.388
8, 70.576, 43.6529, 52.2015, 75.3165, 53.8132, 52.6494, 9.06892, 71.1394, 133.508, 17.7816, 63.3144, 118.445
9, 69.9125, 44.3412, 55.2895, 75.4252, 53.689, 54.0377, 8.84379, 70.1995, 132.902, 17.2959, 65.6289, 118.624
10, 68.9297, 43.9951, 58.0773, 73.7538, 51.5202, 54.5607, 11.5479, 72.0741, 132.792, 16.3386, 65.7139, 100.249
11, 70.4455, 44.9934, 59.3527, 74.0458, 51.033, 54.6731, 10.917, 71.7351, 131.863, 14.5076, 67.6915, 106.254
12, 74.0275, 44.3806, 59.6673, 73.5704, 50.4118, 54.9796, 10.4184, 72.8062, 131.445, 13.8974, 67.7624, 105.07
13, 74.9293, 44.6649, 60.3186, 74.3953, 49.6064, 52.9732, 10.2817, 72.3407, 137.066, 12.8891, 67.3123, 109.046
14, 74.5055, 43.1505, 59.5953, 74.695, 48.0887, 52.2497, 10.8294, 72.0623, 133.348, 13.2497, 68.5773, 103.473
15, 71.5059, 41.5787, 57.0408, 76.0846, 48.1148, 50.1951, 10.9711, 72.7189, 127.801, 13.6931, 69.0431, 111.313
16, 79.0532, 42.7189, 54.2474, 76.2276, 46.7461, 48.1355, 10.4578, 71.8473, 135.796, 10.405, 71.786, 111.108
17, 72.117, 38.2868, 49.299, 78.633, 48.388, 43.9844, 11.4506, 66.0572, 131.563, 12.5186, 76.4292, 117.277
18, 72.2046, 36.1166, 46.2839, 79.1012, 47.1163, 40.4734, 10.9446, 66.2764, 127.561, 9.41047, 77.1208, 118.63
19, 73.1924, 36.022, 43.2993, 79.1743, 44.3521, 37.1548, 11.3385, 66.8849, 128.156, 9.96664, 77.7524, 119.641
20, 74.4001, 35.9789, 37.2914, 79.8718, 44.7225, 33.8288, 9.58613, 69.1931, 124.401, 10.9902, 78.1436, 129.734
21, 75.7999, 36.8808, 33.0709, 80.0475, 43.6327, 30.0551, 10.1786, 76.5816, 127.942, 10.1807, 79.4422, 129.471
22, 76.7465, 37.4887, 33.0822, 80.9634, 44.2235, 27.1246, 9.8222, 77.3657, 126.747, 10.1572, 80.775, 129.509
23, 76.895, 37.0635, 33.8953, 81.4212, 44.9618, 25.7834, 8.4958, 76.4349, 130.447, 11.7446, 81.1172, 129.874
24, 77.3699, 37.1645, 32.5768, 81.8645, 45.1659, 24.0213, 9.38143, 77.0169, 133.805, 13.3664, 80.8984, 131.396
25, 76.2434, 41.0845, 24.4735, 81.0437, 44.1356, 24.8885, 11.0792, 81.1204, 137.529, 15.6688, 82.2668, 133.241
26, 75.8217, 39.9955, 20.5588, 80.3462, 44.6261, 26.2225, 11.8034, 81.2869, 135.719, 15.6745, 83.3989, 134.474
27, 75.1006, 39.3291, 20.2896, 80.2883, 42.5631, 24.9507, 11.2641, 83.064, 142.648, 15.6908, 84.4483, 136.187
28, 75.9176, 40.0065, 30.836, 81.1179, 44.1217, 25.7956, 10.5112, 81.5566, 141.07, 12.7753, 84.5136, 136.507
29, 75.4466, 39.8211, 31.4019, 80.3617, 42.8368, 26.2909, 11.4883, 82.0733, 137.064, 15.6485, 79.3948, 137.754
30, 75.464, 39.9434, 30.5001, 80.0153, 42.5411, 28.3654, 12.205, 82.7784, 138.893, 15.8441, 80.9678, 138.574
31, 75.5373, 40.2257, 30.1089, 79.6904, 41.2367, 28.1807, 12.5878, 83.4637, 137.685, 14.993, 83.1775, 139.517
32, 75.9328, 40.7828, 30.2893, 79.3672, 40.7451, 28.9174, 13.2885, 82.9609, 136.654, 13.8871, 84.7418, 141.833
33, 76.265, 41.1763, 30.8017, 79.3306, 40.8195, 30.273, 12.7165, 81.8551, 135.931, 13.6872, 85.5824, 144.112
34, 76.6162, 41.7064, 30.6227, 79.8008, 40.0501, 28.2084, 12.6884, 81.7715, 138.559, 11.3366, 84.1229, 146.245
35, 76.4941, 41.5047, 30.4046, 79.569, 39.9767, 26.9416, 11.5825, 82.7807, 137.989, 9.67421, 82.4503, 141.772
36, 75.8179, 41.109, 23.5999, 79.0917, 39.3281, 25.2853, 13.2562, 85.7238, 137.496, 11.6384, 83.9273, 142.61
37, 75.8331, 41.3064, 25.7481, 79.2644, 39.1784, 24.0208, 13.9658, 86.945, 137.332, 12.1705, 81.3701, 138.887
38, 76.9115, 42.3765, 30.5779, 80.7213, 40.7223, 21.6865, 11.5412, 85.7157, 136.24, 10.195, 82.7304, 139.293
39, 73.5108, 39.329, 25.6031, 76.8609, 38.1825, 23.1709, 11.6167, 70.8717, 129.907, 12.3354, 81.8422, 137.101
40, 74.3827, 40.3024, 25.6114, 77.3041, 38.974, 24.1319, 10.3371, 70.0851, 130.391, 11.7556, 84.7094, 140.958
41, 75.4712, 41.3334, 25.5627, 78.5288, 41.0057, 22.2301, 9.58326, 71.6835, 133.108, 10.6885, 84.6278, 141.816
42, 76.3838, 41.8362, 25.9332, 79.6461, 42.5338, 21.8646, 8.75414, 75.1292, 135.13, 9.19232, 83.6841, 143.392
43, 75.8815, 41.5699, 25.5535, 79.18, 41.088, 23.2702, 8.57468, 78.3932, 131.981, 7.41299, 86.4928, 142.274
44, 76.5589, 42.0329, 25.2247, 80.0074, 42.4572, 25.2637, 8.12547, 79.6567, 133.845, 7.84421, 83.8269, 139.286
45, 75.6135, 40.767, 31.3248, 79.5191, 43.3172, 28.3864, 7.94323, 84.0886, 140.75, 9.38249, 83.5636, 142.542
46, 75.4463, 40.4156, 35.1033, 79.4648, 44.4075, 31.786, 11.0459, 83.657, 139.018, 8.70115, 81.1271, 140.334
47, 75.896, 40.8101, 39.2925, 79.4128, 44.8542, 33.9296, 11.7391, 86.2079, 140.443, 9.4372, 79.2154, 142.845
48, 75.6889, 40.246, 41.8016, 79.6788, 45.5274, 36.7065, 13.7563, 88.0811, 139.858, 9.1379, 80.6913, 138.4
49, 76.0222, 41.7654, 47.6165, 79.9545, 45.5079, 37.701, 11.8672, 87.215, 139.188, 8.22715, 84.1247, 136.543
50, 76.0666, 41.0647, 49.1337, 80.0275, 45.7419, 39.0001, 11.3028, 86.6247, 138.28, 8.56165, 84.4398, 140.351
51, 75.6209, 42.3748, 49.1209, 79.3714, 44.5689, 39.1851, 10.6642, 86.3393, 138.265, 9.51693, 86.1291, 139.769
52, 75.6715, 41.1749, 52.3666, 78.8582, 43.5916, 38.6953, 10.4499, 85.3772, 136.958, 10.1776, 86.9096, 140.123
53, 75.3075, 41.7206, 51.3325, 78.4617, 42.0474, 38.5398, 11.1468, 84.5602, 136.591, 11.187, 84.3927, 140.035
54, 75.0651, 40.5696, 47.0653, 77.784, 40.7655, 37.298, 11.9055, 83.869, 136.354, 10.3516, 83.3591, 137.246
55, 75.5469, 40.7409, 48.0681, 78.497, 39.15, 35.9557, 12.1821, 84.1402, 135.084, 9.88831, 79.0051, 138.489
56, 75.8832, 40.0739, 43.7336, 78.0443, 37.3319, 33.1586, 10.6452, 85.6511, 131.856, 8.29925, 78.7625, 138.209
57, 76.6226, 41.0196, 38.3996, 78.8651, 35.6004, 29.5296, 12.6541, 88.764, 134.93, 6.68169, 79.3529, 139.474
58, 77.9149, 41.9891, 34.5802, 79.5125, 34.5338, 28.983, 13.1728, 90.3755, 131.443, 6.93156, 79.28, 139.131
59, 78.4311, 42.3096, 30.1196, 79.8972, 33.241, 26.445, 13.0819, 90.0916, 136.713, 6.21571, 79.7539, 139.711
60, 78.9194, 42.1895, 27.3713, 80.5791, 33.5175, 24.4838, 13.1409, 90.3224, 133.038, 6.70365, 80.0587, 139.713
61, 79.0426, 42.3848, 28.9739, 80.8709, 31.9306, 26.8249, 13.1699, 83.6194, 128.722, 7.82923, 81.0223, 140.46
62, 79.2569, 42.1478, 27.8692, 81.1135, 33.5304, 27.7046, 14.9354, 84.5518, 130.342, 8.09815, 81.3642, 141.066
63, 77.2924, 38.8595, 24.6704, 79.901, 31.1886, 32.3645, 11.1304, 71.834, 124.17, 9.1327, 84.0593, 144.038
64, 78.1484, 39.3175, 23.2163, 81.0221, 32.4945, 34.5759, 9.18777, 73.1779, 131.302, 10.7913, 87.1094, 144.241
65, 78.7696, 39.8358, 22.5175, 81.6413, 32.4633, 36.41, 8.3128, 81.6847, 133.962, 10.329, 89.5202, 144.51
66, 78.7848, 39.7327, 21.9009, 81.5646, 33.4777, 39.1337, 8.59443, 82.384, 135.754, 10.852, 92.1862, 145.065
67, 78.1422, 38.9961, 21.5023, 81.159, 34.5645, 41.2081, 9.8234, 82.4245, 135.22, 13.2956, 93.8562, 145.785
68, 76.8026, 51.525, 29.7675, 78.9993, 34.3511, 53.1461, 11.5564, 85.606, 136.663, 10.3439, 88.4884, 145.875
69, 76.67, 50.9095, 32.3623, 78.9938, 35.5636, 54.4403, 10.1716, 84.8569, 142.295, 10.1402, 89.8176, 146.478
70, 76.3173, 51.7523, 37.0157, 78.0397, 36.5011, 55.5181, 11.9167, 86.9009, 141.489, 10.8258, 92.3648, 146.786
71, 76.4595, 51.4375, 41.5899, 78.27, 37.1258, 59.0803, 11.352, 86.0247, 132.058, 10.9325, 92.5253, 146.345
