frameNum, leftShoulder, leftElbow, leftWrist, rightShoulder, rightElbow, rightWrist, leftHip, leftKnee, leftAnkle, rightHip, rightKnee, rightAnkle
0, 102.858, 70.5507, 78.2348, 100.968, 59.1862, 74.9411, 12.5306, 80.1657, 176.821, 20.9669, 84.7316, 152.873
1, 102.607, 69.9846, 76.9514, 100.505, 60.042, 79.035, 13.683, 81.1169, 173.462, 19.9828, 83.899, 152.324
2, 102.452, 69.7518, 75.9807, 100.522, 61.5436, 80.5441, 13.9576, 80.9647, 173.326, 19.9915, 83.8409, 152.387
3, 101.215, 69.0994, 76.02, 99.1338, 60.8189, 81.5323, 14.9085, 81.9414, 166.092, 20.079, 75.5415, 147.972
4, 100.03, 68.2923, 75.4826, 98.0556, 60.5337, 82.5072, 16.0035, 76.8178, 164.202, 20.3799, 76.3698, 135.298
5, 99.6877, 67.3776, 74.7955, 97.652, 60.3652, 82.9555, 16.3041, 75.713, 161.905, 20.2138, 76.0593, 133.15
6, 99.3384, 67.008, 73.9189, 97.4908, 60.3441, 82.9519, 16.3755, 75.3001, 159.405, 20.2292, 75.7491, 131.058
7, 99.6994, 66.9142, 73.0064, 97.9585, 60.3013, 82.6244, 16.2313, 76.5648, 161.844, 20.2375, 74.7687, 129.247
8, 100.139, 66.8712, 72.0743, 98.2475, 60.0851, 81.7039, 16.2252, 77.9746, 161.463, 20.2909, 74.0389, 129.133
9, 100.448, 66.5999, 71.2232, 98.6336, 59.9329, 80.4166, 15.9334, 79.3377, 160.668, 20.7143, 73.5898, 128.553
10, 100.708, 66.5877, 70.1566, 98.9669, 59.736, 79.0525, 15.723, 80.7015, 160.598, 21.0588, 73.6955, 127.248
11, 101.507, 66.9402, 69.0162, 99.7132, 59.3698, 76.8565, 15.3234, 81.4506, 160.091, 21.2095, 74.0276, 134.473
12, 102.442, 67.107, 67.3386, 100.901, 59.6473, 75.0094, 14.6558, 81.7061, 161.315, 21.4878, 73.9636, 144.048
13, 102.888, 67.2403, 66.3311, 101.719, 59.505, 73.4097, 14.4978, 82.562, 161.362, 21.7919, 75.8076, 143.919
14, 103.326, 67.639, 65.3867, 102.378, 59.6773, 71.76, 14.2206, 83.4329, 161.24, 22.2627, 78.4871, 143.784
15, 103.697, 68.0252, 64.7452, 102.822, 59.7048, 70.4539, 14.3612, 83.3853, 158.251, 22.3382, 82.0185, 144.588
16, 104.478, 68.548, 64.3372, 103.44, 59.9546, 69.4255, 14.4367, 84.2509, 158.591, 22.2886, 82.6091, 147.742
17, 104.852, 68.4887, 63.9222, 103.958, 60.4734, 69.0964, 14.2886, 83.9097, 159.019, 22.5855, 83.9699, 149.811
18, 105.017, 68.7309, 64.3641, 104.063, 60.7063, 67.2319, 14.4288, 83.8052, 160.089, 22.6626, 84.6386, 147.242
19, 105.332, 68.7769, 65.1585, 104.34, 60.7188, 66.5342, 14.6092, 83.5182, 160.318, 22.5932, 84.8637, 147.572
20, 105.832, 68.8681, 65.8648, 104.594, 60.9426, 65.9579, 14.7316, 83.6149, 160.561, 22.5414, 85.2796, 147.48
21, 106.163, 69.0902, 66.5304, 104.935, 61.0761, 66.0089, 14.8117, 83.5401, 161.042, 22.5858, 85.9311, 148.861
22, 106.73, 69.6647, 66.5429, 105.256, 61.2511, 65.9089, 14.8135, 83.3418, 161.195, 22.5956, 86.4632, 151.977
23, 107.273, 70.1397, 66.784, 105.681, 61.4931, 65.8993, 14.846, 83.2848, 161.186, 22.552, 87.1746, 155.963
24, 107.568, 70.6043, 67.0856, 105.954, 61.921, 65.831, 14.9108, 83.3242, 161.394, 22.6344, 87.6551, 158.82
25, 107.889, 71.224, 67.7077, 106.097, 62.2385, 66.429, 15.0424, 83.3395, 161.508, 22.5803, 88.1856, 161.883
26, 108.054, 71.6869, 68.5558, 106.261, 62.5568, 67.2466, 15.0171, 83.3636, 161.593, 22.7319, 88.4772, 163.476
27, 108.298, 72.0622, 69.4336, 106.386, 62.8785, 68.0073, 15.0753, 83.2372, 161.57, 22.7397, 88.8318, 165.315
28, 108.606, 72.6411, 70.656, 106.572, 63.1021, 68.3255, 15.0888, 83.2581, 161.622, 22.6493, 88.8403, 168.961
29, 108.706, 72.8741, 71.8916, 106.861, 63.4296, 69.0983, 14.8971, 83.3826, 161.526, 23.0955, 88.9473, 169.301
30, 108.763, 73.085, 72.859, 107.109, 64.0552, 70.087, 14.5576, 83.1914, 161.236, 23.5852, 88.8864, 169.632
31, 108.798, 72.8942, 73.4273, 107.251, 63.9982, 70.2478, 14.2697, 82.8745, 160.852, 23.7564, 88.6411, 170.868
32, 108.854, 72.4984, 74.1975, 107.555, 64.4146, 70.8056, 14.1343, 82.7718, 160.794, 23.8786, 88.6857, 171.116
33, 109.05, 72.6212, 74.3424, 107.745, 64.714, 70.7823, 13.9557, 82.5795, 160.673, 23.9995, 88.9423, 171.386
34, 109.175, 72.4707, 74.6257, 107.968, 64.9714, 71.0939, 13.7909, 83.1137, 160.497, 24.1616, 88.7769, 171.676
35, 109.417, 72.6795, 74.5416, 108.244, 65.0945, 70.703, 13.6894, 83.0555, 160.262, 24.272, 88.7373, 173
36, 109.484, 72.192, 74.3513, 108.433, 65.0581, 70.6085, 13.6977, 83.7347, 159.909, 24.3811, 88.5742, 172.869
37, 109.434, 71.5577, 73.7731, 108.722, 65.1946, 70.6493, 13.6021, 84.2754, 160.096, 24.6013, 88.7682, 172.484
38, 109.152, 70.9543, 73.1309, 108.927, 65.7937, 71.3238, 13.6523, 84.7272, 159.454, 24.7146, 89.173, 170.483
39, 109.095, 71.4754, 72.4748, 109.004, 66.0992, 71.573, 14.1212, 84.9897, 159.617, 24.4891, 88.9497, 171.92
40, 109.015, 70.7835, 71.7888, 109.404, 66.2818, 72.1047, 14.0862, 85.6406, 159.573, 24.8674, 89.078, 171.674
41, 109.07, 70.7241, 70.9854, 109.534, 66.5022, 72.708, 14.1938, 86.1824, 160.258, 24.8999, 89.0222, 171.302
42, 109.186, 70.6952, 70.2678, 109.575, 66.5636, 73.2056, 14.7113, 86.9736, 160.253, 24.3138, 88.4046, 172.439
43, 109.485, 70.5321, 69.6905, 109.788, 66.4936, 74.0586, 14.5448, 87.4797, 162.004, 24.5491, 88.0172, 171.357
44, 109.575, 70.347, 68.7037, 110.186, 66.6467, 75.9959, 14.7955, 88.2264, 162.429, 24.2947, 87.1827, 171.071
45, 109.775, 69.9836, 67.4834, 110.593, 67.0783, 77.3859, 14.931, 88.3663, 167.356, 23.9984, 86.5689, 170.162
46, 109.98, 70.9809, 66.6454, 110.7, 66.614, 78.9512, 15.6256, 88.4588, 169.85, 23.0548, 85.871, 168.531
47, 110.09, 70.2318, 65.222, 110.525, 66.9716, 80.1244, 16.0758, 88.3988, 169.216, 22.7169, 85.4416, 168.524
48, 110.361, 69.8687, 63.2692, 110.897, 67.0255, 80.9957, 16.5729, 88.506, 172.088, 22.1607, 85.2142, 168.076
49, 110.826, 69.9809, 62.0083, 110.707, 66.4278, 80.9348, 17.7656, 89.0011, 171.166, 20.9393, 84.7449, 168.075
50, 110.78, 69.7757, 58.886, 110.953, 66.5885, 81.5543, 17.7896, 88.7219, 174.875, 20.8886, 84.67, 167.977
51, 110.764, 69.4587, 57.3444, 110.986, 66.4242, 81.6896, 18.1929, 88.9211, 175.306, 20.4696, 84.6245, 167.897
52, 111.038, 69.7084, 56.6752, 110.92, 66.029, 81.5299, 18.7778, 88.2694, 175.984, 19.9205, 84.5242, 167.931
53, 110.912, 69.4739, 55.8258, 110.956, 66.2024, 81.6798, 18.5225, 88.5322, 176.675, 20.2601, 84.6217, 167.979
54, 110.907, 69.6147, 55.9945, 110.656, 65.8314, 81.6081, 18.7672, 89.1346, 172.484, 20.1852, 84.668, 168.112
55, 111.28, 70.498, 57.3024, 110.029, 64.6295, 80.6444, 19.9011, 89.712, 167.61, 19.1899, 84.455, 167.885
56, 111.477, 70.5643, 57.7067, 110.147, 64.6932, 80.4556, 19.6695, 89.4987, 168.055, 19.3683, 84.322, 167.699
57, 111.673, 71.0477, 57.7208, 110.234, 64.8019, 79.9979, 19.4984, 89.8212, 168.71, 19.5425, 84.1163, 167.598
58, 111.287, 70.5102, 57.0509, 110.991, 66.0092, 80.4375, 17.9567, 89.5747, 171.632, 21.2635, 84.3123, 167.553
59, 111.458, 70.7375, 57.627, 111.024, 65.8206, 79.764, 17.7551, 89.7278, 172.016, 21.5301, 84.1011, 167.098
60, 111.648, 71.2758, 58.0283, 111.07, 65.8253, 79.1005, 17.4815, 89.71, 172.211, 21.9168, 84.0561, 166.959
61, 111.918, 72.034, 59.0024, 110.974, 65.4758, 78.0092, 17.707, 89.5446, 170.844, 21.9745, 83.9415, 166.677
62, 112.049, 72.0821, 59.5413, 110.974, 65.6631, 77.7527, 17.4094, 89.1555, 170.847, 22.327, 84.036, 166.594
63, 112.244, 72.335, 60.1108, 111.084, 65.5494, 77.1887, 17.2383, 88.5649, 170.673, 22.5697, 83.9972, 166.487
64, 112.084, 72.363, 60.8512, 111.017, 65.3248, 77.352, 17.0517, 88.2362, 170.601, 22.936, 84.243, 166.894
65, 112.336, 72.386, 61.0329, 111.075, 65.6359, 77.5141, 16.8588, 87.853, 170.152, 23.079, 84.6022, 168.563
66, 112.465, 72.3987, 61.4744, 110.998, 65.6206, 77.3375, 16.8382, 87.8275, 169.952, 23.2149, 84.9742, 168.268
67, 112.742, 72.6016, 62.5172, 111.08, 65.5785, 76.4742, 16.6961, 88.2287, 168.684, 23.259, 85.4487, 170.351
68, 112.701, 72.7846, 64.273, 111.219, 65.7736, 75.7353, 16.5251, 88.0504, 168.748, 23.3811, 86.0525, 170.949
69, 112.545, 72.624, 66.5148, 111.325, 66.1848, 75.5355, 15.9901, 88.0007, 167.741, 23.9509, 86.8219, 171.828
70, 112.502, 72.592, 67.7885, 111.364, 66.2739, 74.676, 15.642, 87.8739, 167.549, 24.3309, 87.3115, 171.485
71, 112.477, 72.6382, 68.3874, 111.34, 66.3627, 73.7246, 15.3875, 87.9038, 167.326, 24.688, 87.8999, 171.157
72, 112.598, 72.914, 69.3, 111.172, 66.2, 72.2926, 15.4513, 87.8763, 166.611, 24.5729, 87.9299, 173.022
73, 112.163, 72.3906, 69.6371, 110.977, 66.3068, 71.9195, 15.1634, 88.1063, 166.428, 25.1468, 88.4434, 167.106
74, 112.07, 72.2386, 69.8353, 111.025, 66.3863, 71.3478, 15.012, 88.0862, 166.457, 25.334, 88.5978, 167.216
75, 112.019, 71.9875, 69.2838, 111.229, 66.7329, 70.9298, 14.612, 87.9444, 165.702, 25.7447, 88.3469, 170.247
76, 111.807, 71.7646, 69.0041, 111.145, 66.6844, 70.2329, 14.5521, 88.0986, 165.295, 26.0299, 88.3798, 170.506
77, 111.626, 71.3744, 68.3628, 111.113, 66.6409, 69.291, 14.6479, 88.2579, 165.414, 26.1345, 88.2883, 170.538
